datum, rekeningnummer, debiteurnummer, crediteurnummer, medewerker, omschrijving, bedrag, faktuurnr, GUID
2004-02-19 00:00:00,     1300, 60015      ,,80017,order februari,1583.7,70400004,{3B59999A-CD20-4EB5-950C-50AF72148FAD}
2004-02-19 00:00:00,     8000, 60021      ,,80001,contract op hefbrug,-550,70400005,{7AAFC89A-9B80-4F31-B63F-26EB4909D82A}
2004-02-19 00:00:00,     1502,, 60085      ,80001,contract op hefbrug,-104.5,70400005,{7AAFC89A-9B80-4F31-B63F-26EB4909D82A}
2004-02-19 00:00:00,     1300, 60021      ,,80001,contract op hefbrug,654.5,70400005,{7AAFC89A-9B80-4F31-B63F-26EB4909D82A}
2004-02-19 00:00:00,     8000, 60021      ,,80001,,-150,70400006,{2C45D1C1-EE92-4A2C-99F4-18C1D7F018AF}
2004-02-19 00:00:00,     8000, 60021      ,,80001,,0,70400006,{2C45D1C1-EE92-4A2C-99F4-18C1D7F018AF}
2004-02-19 00:00:00,     1502,, 60085      ,80001,,-28.5,70400006,{2C45D1C1-EE92-4A2C-99F4-18C1D7F018AF}
2004-02-19 00:00:00,     1300, 60021      ,,80001,,178.5,70400006,{2C45D1C1-EE92-4A2C-99F4-18C1D7F018AF}
2004-02-19 00:00:00,     1200, 60021      ,,80001,,178.5,70400006,{C0EB61AC-651B-4005-A489-EEA4191A0691}
2004-02-19 00:00:00,     1300, 60021      ,,80001,,-178.5,70400006,{C0EB61AC-651B-4005-A489-EEA4191A0691}
2004-04-28 00:00:00,     3000, 60021      ,,80001,Delta 5000 60021,-399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     7000, 60021      ,,80001,Delta 5000 60021,399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     3000, 60021      ,,80001,Delta 5000 60021,-399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     7000, 60021      ,,80001,Delta 5000 60021,399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
